tox,ident,species,prot_type
NOV_Cry1Fb4_99.8_AMR88428.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ia35,100,Bacillus thuringiensis,all
NOV_Cry4Ba1_98.9_ABR22236.1,98.9,Bacillus thuringiensis,all
BT_Cry2Ab6,100,Bacillus thuringiensis,all
NOV_Cry2Ab15_99.6_ACZ64281.1,99.6,Bacillus thuringiensis,all
NOV_Cry1Ab12_98.7_AAK14336.1,98.7,Bacillus thuringiensis,all
BT_Cry9Ea5,100,Bacillus thuringiensis,all
BT_Cry11Aa5,100,Bacillus thuringiensis,all
NOV_Cry7Gd1_98.0_ALL11724.1,98,Bacillus thuringiensis,all
NOV_Cry11Bb1_99.7_WP_103570866.1,99.7,Bacillus thuringiensis,all
BT_Cry1Bc1,100,Bacillus thuringiensis,all
BT_Cry1Ia20,100,Bacillus thuringiensis,all
NOV_Cry1Ka2_99.8_OTZ32741.1,99.8,Bacillus thuringiensis,all
NOV_Cry1Ac2_99.9_OTX40985.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ea12,100,Bacillus thuringiensis,all
NOV_Cry5Ba1_99.6_PGL13502.1,99.6,Bacillus thuringiensis,all
BT_Cry1Ea4,100,Bacillus thuringiensis,all
NOV_Cry2Ah3_98.9_ABU37567.1,98.9,Bacillus thuringiensis,all
NOV_Cry8Ib2_94.6_WP_103622992.1,94.6,Bacillus thuringiensis,all
BT_Cry3Aa4,100,Bacillus thuringiensis,all
NOV_Cry5Aa1_99.7_PGO36223.1,99.7,Bacillus thuringiensis,all
NOV_Cry11Aa1_99.4_AXJ97553.1,99.4,Bacillus thuringiensis,all
NOV_Cry1Ac2_99.8_OTZ14059.1,99.8,Bacillus thuringiensis,all
NOV_Cry21Ga1_30.5_CAP40037.1,30.5,Bacillus thuringiensis,all
BT_Cry2Ab20,100,Bacillus thuringiensis,all
NOV_Cry1Ac10_99.3_ABY83188.1,99.3,Bacillus thuringiensis,all
BT_Cry8Ea6,100,Bacillus thuringiensis,all
BT_Cry2Ac2,100,Bacillus thuringiensis,all
NOV_Cry1Ea11_98.2_BAR87554.1,98.2,Bacillus thuringiensis,all
NOV_Cry9Ba1_99.0_ADK47395.1,99,Bacillus thuringiensis,all
BT_Cry7Ab2,100,Bacillus thuringiensis,all
BT_Cry1Ca14,100,Bacillus thuringiensis,all
NOV_Cry1Da1_99.6_ALP83513.1,99.6,Bacillus thuringiensis,all
BT_Cry1Aa6,100,Bacillus thuringiensis,all
NOV_Cry2Ab18_96.6_AXE42969.1,96.6,Bacillus thuringiensis,all
BT_Cry1Be5,100,Bacillus thuringiensis,all
NOV_Cry9Ee2_99.1_OTW84856.1,99.1,Bacillus thuringiensis,all
BT_Cry1Db2,100,Bacillus thuringiensis,all
BT_Cry2Ac1,100,Bacillus thuringiensis,all
NOV_Cry8Da1_99.4_CBL59395.1,99.4,Bacillus thuringiensis,all
NOV_Cry8La1_99.9_WP_000074807.1,99.9,Bacillus thuringiensis,all
BT_Cry1Fb3,100,Bacillus thuringiensis,all
NOV_Cry9Da3_99.7_OTW94050.1,99.7,Bacillus thuringiensis,all
BT_Cry1Bd3,100,Bacillus thuringiensis,all
NOV_Cry53Ab1_99.7_AFU17354.1,99.7,Bacillus thuringiensis,all
NOV_Cry73Ba1_39.2_PFV85565.1,39.2,Bacillus thuringiensis,all
BT_Cry2Ac6,100,Bacillus thuringiensis,all
BT_Cry50Ba2,100,Bacillus thuringiensis,all
NOV_Cry7Ga2_98.2_AHB36892.1,98.2,Bacillus thuringiensis,all
BT_Cry56Aa4,100,Bacillus thuringiensis,all
NOV_Cry19Ba1_98.0_OUB51426.1,98,Bacillus thuringiensis,all
BT_Cry2Ah2,100,Bacillus thuringiensis,all
BT_Cry1Ma2,100,Bacillus thuringiensis,all
BT_Cry56Aa2,100,Bacillus thuringiensis,all
BT_Cry8Fa1,100,Bacillus thuringiensis,all
BT_Cry7Ea2,100,Bacillus thuringiensis,all
BT_Cry5Aa1,100,Bacillus thuringiensis,all
BT_Cry2Aa15,100,Bacillus thuringiensis,all
BT_Cry1Ia9,100,Bacillus thuringiensis,all
BT_Cry1Ac19,100,Bacillus thuringiensis,all
NOV_Cry1Ac10_99.2_ACV81774.1,99.2,Bacillus thuringiensis,all
BT_Cry9Ea6,100,Bacillus thuringiensis,all
BT_Cry1Aa17,100,Bacillus thuringiensis,all
NOV_Cry1Aa12_99.9_OUA16321.1,99.9,Bacillus thuringiensis,all
NOV_Cry8Da1_99.6_CBL59396.1,99.6,Bacillus thuringiensis,all
BT_Cry7Fb2,100,Bacillus thuringiensis,all
BT_Cry1Ac20,100,Bacillus thuringiensis,all
BT_Cry1Ac15,100,Bacillus thuringiensis,all
BT_Cry5Ad1,100,Bacillus thuringiensis,all
BT_Cry1Fb7,100,Bacillus thuringiensis,all
BT_Cry2Ab26,100,Bacillus thuringiensis,all
NOV_Cry1Gb2_99.9_OTY56195.1,99.9,Bacillus thuringiensis,all
BT_Cry2Ab21,100,Bacillus thuringiensis,all
BT_Cry1Ac31,100,Bacillus thuringiensis,all
NOV_Cry2Ac6_99.7_ACA52278.1,99.7,Bacillus thuringiensis,all
NOV_Cry1Aa12_99.7_AEB21634.1,99.7,Bacillus thuringiensis,all
BT_Cry1Ab16,100,Bacillus thuringiensis,all
NOV_Cry1Aa12_99.9_OUA40850.1,99.9,Bacillus thuringiensis,all
NOV_Cry1Ac13_96.1_AXE42966.1,96.1,Bacillus thuringiensis,all
NOV_Cry10Aa1_98.2_ABW89731.1,98.2,Bacillus thuringiensis,all
NOV_Cry73Ba1_39.0_PFP10217.1,39,Bacillus thuringiensis,all
NOV_Cry8Sa1_99.9_WP_103622574.1,99.9,Bacillus thuringiensis,all
NOV_Cry4Aa1_98.7_ABR12216.1,98.7,Bacillus thuringiensis,all
BT_Cry7Ca1,100,Bacillus thuringiensis,all
NOV_Cry1Ac20_89.0_KEH48722.1,89,Bacillus thuringiensis,all
BT_Cry4Cb3,100,Bacillus thuringiensis,all
BT_Cry32Ab1,100,Bacillus thuringiensis,all
NOV_Cry2Ab4_99.7_AUN50233.1,99.7,Bacillus thuringiensis,all
BT_Cry1Bb3,100,Bacillus thuringiensis,all
BT_Cry1Ea8,100,Bacillus thuringiensis,all
BT_Cry2Ab7,100,Bacillus thuringiensis,all
BT_Cry1Ba7,100,Bacillus thuringiensis,all
BT_Cry4Cb2,100,Bacillus thuringiensis,all
BT_Cry31Aa4,100,Bacillus thuringiensis,all
BT_Cry1Aa20,100,Bacillus thuringiensis,all
NOV_Cry8Fa1_98.9_AFP44679.1,98.9,Bacillus thuringiensis,all
NOV_Cry9Aa4_99.8_OTX08738.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ac26,100,Bacillus thuringiensis,all
NOV_Cry1Ib7_99.9_EXY05450.1,99.9,Bacillus thuringiensis,all
NOV_Cry1Ib10_97.2_AHX73744.1,97.2,Bacillus thuringiensis,all
NOV_Cry1Ab12_99.7_ALJ10947.1,99.7,Bacillus thuringiensis,all
BT_Cry1Ia27,100,Bacillus thuringiensis,all
NOV_Cry8Db1_49.7_AEX56525.1,49.7,Bacillus thuringiensis,all
NOV_Cry10Aa1_98.2_ABW89734.1,98.2,Bacillus thuringiensis,all
BT_Cry30Ea3,100,Bacillus thuringiensis,all
BT_Cry7Ab6,100,Bacillus thuringiensis,all
BT_Cry1Ja2,100,Bacillus thuringiensis,all
BT_Cry2Ac12,100,Bacillus thuringiensis,all
NOV_Cry1Ac10_99.9_AXP29732.1,99.9,Bacillus thuringiensis,all
BT_Cry30Ea2,100,Bacillus thuringiensis,all
BT_Cry1Ac33,100,Bacillus thuringiensis,all
BT_Cry1Ab18,100,Bacillus thuringiensis,all
NOV_Cry10Aa3_99.0_EEM99282.1,99,Bacillus thuringiensis,all
BT_Cry2Ac5,100,Bacillus thuringiensis,all
BT_Cry1Ab1,100,Bacillus thuringiensis,all
